rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
18,LLM,llama_index,42000,5995,Python,https://github.com/run-llama/llama_index,run-llama,244,2025-05-30T23:55:43Z,LlamaIndex is the leading framework for building LLM-powered agents over your data.
19,LLM,unsloth,39688,3135,Python,https://github.com/unslothai/unsloth,unslothai,951,2025-05-30T08:38:58Z,"Finetune Qwen3, Llama 4, TTS, DeepSeek-R1 & Gemma 3 LLMs 2x faster with 70% less memory! 🦥"
20,LLM,firecrawl,39111,3599,TypeScript,https://github.com/mendableai/firecrawl,mendableai,179,2025-05-30T21:38:23Z,"🔥 Turn entire websites into LLM-ready markdown or structured data. Scrape, crawl and extract with a single API."
21,LLM,Pake,39010,7235,Rust,https://github.com/tw93/Pake,tw93,60,2025-03-25T12:35:16Z,🤱🏻 Turn any webpage into a desktop app with Rust.  🤱🏻 利用 Rust 轻松构建轻量级多端桌面应用
22,LLM,quivr,37914,3639,Python,https://github.com/QuivrHQ/quivr,QuivrHQ,5,2025-05-27T10:38:00Z,"Opiniated RAG for integrating GenAI in your apps 🧠   Focus on your product rather than the RAG. Easy integration in existing products with customisation!  Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want. "
23,LLM,chatgpt-on-wechat,37349,9255,Python,https://github.com/zhayujie/chatgpt-on-wechat,zhayujie,287,2025-05-30T09:06:57Z,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择GPT4.1/GPT-4o/GPT-o1/ DeepSeek/Claude/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。
24,LLM,ray,37286,6322,Python,https://github.com/ray-project/ray,ray-project,3759,2025-05-31T02:39:18Z,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
25,LLM,ChatTTS,36420,3938,Python,https://github.com/2noise/ChatTTS,2noise,60,2025-05-23T13:00:56Z,A generative speech model for daily dialogue.
26,LLM,Langchain-Chatchat,35170,5900,TypeScript,https://github.com/chatchat-space/Langchain-Chatchat,chatchat-space,178,2025-03-25T15:45:51Z,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain "
27,LLM,MoneyPrinterTurbo,35064,4965,Python,https://github.com/harry0703/MoneyPrinterTurbo,harry0703,142,2025-05-16T03:03:36Z,利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.
28,LLM,milvus,35032,3230,Go,https://github.com/milvus-io/milvus,milvus-io,689,2025-05-30T18:44:30Z,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search"
29,LLM,chatbox,35023,3354,TypeScript,https://github.com/chatboxai/chatbox,chatboxai,697,2025-05-28T12:59:36Z,"User-friendly Desktop Client App for AI Models/LLMs (GPT, Claude, Gemini, Ollama...)"
30,LLM,LLM101n,33522,1829,,https://github.com/karpathy/LLM101n,karpathy,0,2024-08-01T01:20:33Z,LLM101n: Let's build a Storyteller
31,LLM,mem0,33185,3264,Python,https://github.com/mem0ai/mem0,mem0ai,314,2025-05-30T16:06:42Z,Memory for AI Agents; SOTA in AI Agent Memory; Announcing OpenMemory MCP - local and secure memory management.
32,LLM,awesome-llm-apps,32983,3750,Python,https://github.com/Shubhamsaboo/awesome-llm-apps,Shubhamsaboo,5,2025-05-30T03:49:53Z,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models."
33,LLM,LocalAI,32924,2511,Go,https://github.com/mudler/LocalAI,mudler,453,2025-05-30T20:16:37Z,":robot: The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI,  running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed, P2P inference"
34,LLM,khoj,30178,1687,Python,https://github.com/khoj-ai/khoj,khoj-ai,75,2025-05-28T08:16:56Z,"Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free."
35,LLM,Mr.-Ranedeer-AI-Tutor,29542,3375,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,13,2024-03-25T13:06:55Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
36,LLM,1Panel,28705,2496,Go,https://github.com/1Panel-dev/1Panel,1Panel-dev,688,2025-05-30T08:44:28Z,"🔥 1Panel provides an intuitive web interface and MCP Server to manage websites, files, containers, databases, and LLMs on a Linux server."
37,LLM,cherry-studio,27540,2373,TypeScript,https://github.com/CherryHQ/cherry-studio,CherryHQ,791,2025-05-31T03:08:15Z,🍒 Cherry Studio is a desktop client that supports for multiple LLM providers.
38,LLM,ChatDev,26944,3397,Python,https://github.com/OpenBMB/ChatDev,OpenBMB,23,2025-04-03T09:05:29Z,Create Customized Software using Natural Language Idea (through LLM-powered Multi-Agent Collaboration)
39,LLM,llm.c,26744,3069,Cuda,https://github.com/karpathy/llm.c,karpathy,83,2025-05-10T23:27:57Z,"LLM training in simple, raw C/CUDA"
40,LLM,continue,26551,2870,TypeScript,https://github.com/continuedev/continue,continuedev,848,2025-05-31T03:26:35Z,"⏩ Create, share, and use custom AI code assistants with our open-source IDE extensions and hub of models, rules, prompts, docs, and other building blocks"
41,LLM,pathway,26317,581,Python,https://github.com/pathwaycom/pathway,pathwaycom,40,2025-05-30T13:25:55Z,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG."
42,LLM,graphrag,25530,2600,Python,https://github.com/microsoft/graphrag,microsoft,147,2025-05-31T00:23:29Z,A modular graph-based Retrieval-Augmented Generation (RAG) system
43,LLM,one-api,25471,5205,JavaScript,https://github.com/songquanpeng/one-api,songquanpeng,856,2025-02-21T11:30:22Z,"LLM API 管理 & 分发系统，支持 OpenAI、Azure、Anthropic Claude、Google Gemini、DeepSeek、字节豆包、ChatGLM、文心一言、讯飞星火、通义千问、360 智脑、腾讯混元等主流模型，统一 API 适配，可用于 key 管理与二次分发。单可执行文件，提供 Docker 镜像，一键部署，开箱即用。LLM API management & key redistribution system, unifying multiple providers under a single API. Single binary, Docker-ready, with an English UI."
44,LLM,composio,25383,4417,Python,https://github.com/ComposioHQ/composio,ComposioHQ,41,2025-05-31T00:19:32Z,Composio equip's your AI agents & LLMs with 100+ high-quality integrations via function calling
45,LLM,llm-app,25040,616,Jupyter Notebook,https://github.com/pathwaycom/llm-app,pathwaycom,5,2025-05-16T07:58:43Z,"Ready-to-run cloud templates for RAG, AI pipelines, and enterprise search with live data. 🐳Docker-friendly.⚡Always in sync with Sharepoint, Google Drive, S3, Kafka, PostgreSQL, real-time data APIs, and more."
46,LLM,semantic-kernel,24837,3889,C#,https://github.com/microsoft/semantic-kernel,microsoft,426,2025-05-30T17:54:46Z,Integrate cutting-edge LLM technology quickly and easily into your apps
47,LLM,FastGPT,24491,6306,TypeScript,https://github.com/labring/FastGPT,labring,538,2025-05-30T13:13:46Z,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration."
48,LLM,storm,24432,2184,Python,https://github.com/stanford-oval/storm,stanford-oval,46,2025-05-02T22:44:16Z,An LLM-powered knowledge curation system that researches a topic and generates a full-length report with citations.
49,LLM,JARVIS,24158,2022,Python,https://github.com/microsoft/JARVIS,microsoft,79,2024-09-26T06:43:22Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
50,LLM,Awesome-LLM,23590,1979,,https://github.com/Hannibal046/Awesome-LLM,Hannibal046,7,2025-05-09T10:06:31Z,Awesome-LLM: a curated list of Large Language Model
51,LLM,litellm,23402,3046,Python,https://github.com/BerriAI/litellm,BerriAI,862,2025-05-31T01:29:06Z,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, Replicate, Groq]"
52,LLM,gin-vue-admin,22935,6712,Go,https://github.com/flipped-aurora/gin-vue-admin,flipped-aurora,24,2025-05-28T09:15:39Z,🚀Vite+Vue3+Gin拥有AI辅助的基础开发平台，支持TS和JS混用。它集成了JWT鉴权、权限管理、动态路由、显隐可控组件、分页封装、多点登录拦截、资源权限、上传下载、代码生成器、表单生成器和可配置的导入导出等开发必备功能。
53,LLM,llamafile,22528,1185,C++,https://github.com/Mozilla-Ocho/llamafile,Mozilla-Ocho,148,2025-05-14T22:23:40Z,Distribute and run LLMs with a single file.
54,LLM,void,22454,1434,TypeScript,https://github.com/voideditor/void,voideditor,156,2025-05-31T03:40:13Z,
55,LLM,gpt-researcher,21615,2821,Python,https://github.com/assafelovic/gpt-researcher,assafelovic,100,2025-05-29T08:45:52Z,LLM based autonomous agent that conducts deep local and web research on any topic and generates a long report with citations.
56,LLM,unilm,21296,2625,Python,https://github.com/microsoft/unilm,microsoft,628,2025-03-04T00:17:39Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
57,LLM,haystack,20964,2192,Python,https://github.com/deepset-ai/haystack,deepset-ai,120,2025-05-30T13:28:56Z,"AI orchestration framework to build customizable, production-ready LLM applications. Connect components (models, vector DBs, file converters) to pipelines or agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search or conversational agent chatbots."
58,LLM,mlc-llm,20721,1740,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,262,2025-05-31T02:40:46Z,Universal LLM Deployment Engine with ML Compilation
59,LLM,CopilotKit,20440,2819,TypeScript,https://github.com/CopilotKit/CopilotKit,CopilotKit,116,2025-05-30T21:20:38Z,"React UI + elegant infrastructure for AI Copilots, AI chatbots, and in-app AI agents. The Agentic last-mile 🪁"
60,LLM,pandas-ai,20393,1956,Python,https://github.com/sinaptik-ai/pandas-ai,sinaptik-ai,18,2025-05-19T10:19:29Z,"Chat with your database or your datalake (SQL, CSV, parquet). PandasAI makes data analysis conversational using LLMs and RAG."
61,LLM,architecture.of.internet-product,20282,4685,HTML,https://github.com/davideuler/architecture.of.internet-product,davideuler,3,2024-02-17T12:02:24Z,互联网公司技术架构，微信/淘宝/微博/腾讯/阿里/美团点评/百度/OpenAI/Google/Facebook/Amazon/eBay的架构，欢迎PR补充
62,LLM,Awesome-Chinese-LLM,20200,1945,,https://github.com/HqWu-HITCS/Awesome-Chinese-LLM,HqWu-HITCS,5,2025-05-19T06:11:57Z,整理开源的中文大语言模型，以规模较小、可私有化部署、训练成本较低的模型为主，包括底座模型，垂直领域微调及应用，数据集与教程等。
63,LLM,gitleaks,20031,1612,Go,https://github.com/gitleaks/gitleaks,gitleaks,202,2025-05-27T14:37:52Z,Find secrets with Gitleaks 🔑
64,LLM,BitNet,19901,1490,Python,https://github.com/microsoft/BitNet,microsoft,104,2025-05-23T08:19:45Z,Official inference framework for 1-bit LLMs
65,LLM,Scrapegraph-ai,19830,1680,Python,https://github.com/ScrapeGraphAI/Scrapegraph-ai,ScrapeGraphAI,14,2025-05-30T12:26:46Z,Python scraper based on AI
66,LLM,llm-cookbook,19624,2359,Jupyter Notebook,https://github.com/datawhalechina/llm-cookbook,datawhalechina,13,2025-02-25T12:01:58Z,面向开发者的 LLM 入门教程，吴恩达大模型系列课程中文版
67,LLM,Chinese-LLaMA-Alpaca,18845,1893,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,2,2024-04-30T04:28:38Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
68,LLM,peft,18610,1885,Python,https://github.com/huggingface/peft,huggingface,23,2025-05-27T11:48:53Z,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.
69,LLM,Qwen,18404,1511,Python,https://github.com/QwenLM/Qwen,QwenLM,13,2025-04-29T09:24:42Z,The official repo of Qwen (通义千问) chat & pretrained large language model proposed by Alibaba Cloud.
70,LLM,llm-action,18155,2130,HTML,https://github.com/liguodongiot/llm-action,liguodongiot,15,2025-05-27T00:32:06Z,本项目旨在分享大模型相关技术原理以及实战经验（大模型工程化、大模型应用落地）
71,LLM,vanna,17904,1597,Python,https://github.com/vanna-ai/vanna,vanna-ai,173,2025-04-10T03:18:09Z,🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using RAG 🔄.
72,LLM,crawlee,17806,828,TypeScript,https://github.com/apify/crawlee,apify,139,2025-05-30T13:16:59Z,"Crawlee—A web scraping and browser automation library for Node.js to build reliable crawlers. In JavaScript and TypeScript. Extract data for AI, LLMs, RAG, or GPTs. Download HTML, PDF, JPG, PNG, and other files from websites. Works with Puppeteer, Playwright, Cheerio, JSDOM, and raw HTTP. Both headful and headless mode. With proxy rotation."
73,LLM,agentic,17582,2226,TypeScript,https://github.com/transitive-bullshit/agentic,transitive-bullshit,11,2025-05-27T07:10:09Z,AI agent stdlib that works with any LLM and TypeScript AI SDK.
74,LLM,llama-cookbook,17393,2498,Jupyter Notebook,https://github.com/meta-llama/llama-cookbook,meta-llama,19,2025-05-29T10:55:12Z,"Welcome to the Llama Cookbook! This is your go to guide for Building with Llama: Getting started with Inference, Fine-Tuning, RAG. We also show you how to solve end to end problems using Llama model family and using them on various provider services  "
75,LLM,Janus,17314,2240,Python,https://github.com/deepseek-ai/Janus,deepseek-ai,151,2025-02-01T07:58:29Z,Janus-Series: Unified Multimodal Understanding and Generation Models
76,LLM,LightRAG,16908,2319,Python,https://github.com/HKUDS/LightRAG,HKUDS,325,2025-05-30T04:30:47Z,"""LightRAG: Simple and Fast Retrieval-Augmented Generation"""
77,LLM,MaxKB,16705,2154,Python,https://github.com/1Panel-dev/MaxKB,1Panel-dev,132,2025-05-30T20:48:12Z,"💬 MaxKB is an open-source AI assistant for enterprise. It seamlessly integrates RAG pipelines, supports robust workflows, and provides MCP tool-use capabilities."
78,LLM,letta,16664,1733,Python,https://github.com/letta-ai/letta,letta-ai,24,2025-05-28T22:06:54Z,"Letta (formerly MemGPT) is the stateful agents framework with memory, reasoning, and context management."
79,LLM,DB-GPT,16638,2279,Python,https://github.com/eosphoros-ai/DB-GPT,eosphoros-ai,388,2025-05-30T15:43:22Z,AI Native Data App Development framework with AWEL(Agentic Workflow Expression Language) and Agents
80,LLM,repomix,16447,710,TypeScript,https://github.com/yamadashy/repomix,yamadashy,88,2025-05-31T03:06:32Z,"📦 Repomix is a powerful tool that packs your entire repository into a single, AI-friendly file. Perfect for when you need to feed your codebase to Large Language Models (LLMs) or other AI tools like Claude, ChatGPT, DeepSeek, Perplexity, Gemini, Gemma, Llama, Grok, and more."
81,LLM,RAG_Techniques,16385,1632,Jupyter Notebook,https://github.com/NirDiamant/RAG_Techniques,NirDiamant,1,2025-05-27T21:32:12Z,This repository showcases various advanced techniques for Retrieval-Augmented Generation (RAG) systems. RAG systems combine information retrieval with generative models to provide accurate and contextually rich responses.
82,LLM,SuperAGI,16349,1987,Python,https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus,144,2025-01-22T22:14:07Z,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
83,LLM,evals,16252,2725,Python,https://github.com/openai/evals,openai,97,2024-12-18T22:09:47Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
84,LLM,RagaAI-Catalyst,16193,3778,Python,https://github.com/raga-ai-hub/RagaAI-Catalyst,raga-ai-hub,8,2025-05-19T21:02:33Z,"Python SDK for Agent AI Observability, Monitoring and Evaluation Framework. Includes features like agent, llm and tools tracing, debugging multi-agentic system, self-hosted dashboard and advanced analytics with timeline and execution graph view "
85,LLM,SWE-agent,16025,1649,Python,https://github.com/SWE-agent/SWE-agent,SWE-agent,30,2025-05-30T17:05:08Z,"SWE-agent takes a GitHub issue and tries to automatically fix it, using your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024] "
86,LLM,kubesphere,16013,2211,Go,https://github.com/kubesphere/kubesphere,kubesphere,471,2025-05-29T08:22:14Z,"The container platform tailored for Kubernetes multi-cloud, datacenter, and edge management ⎈ 🖥 ☁️"
87,LLM,self-llm,15761,1761,Jupyter Notebook,https://github.com/datawhalechina/self-llm,datawhalechina,134,2025-05-29T02:04:46Z,《开源大模型食用指南》针对中国宝宝量身打造的基于Linux环境快速微调（全参数/Lora）、部署国内外开源大模型（LLM）/多模态大模型（MLLM）教程
88,LLM,ChatGLM2-6B,15731,1840,Python,https://github.com/THUDM/ChatGLM2-6B,THUDM,430,2024-06-27T04:05:08Z,ChatGLM2-6B: An Open Bilingual Chat LLM | 开源双语对话语言模型
89,LLM,DocsGPT,15671,1667,TypeScript,https://github.com/arc53/DocsGPT,arc53,20,2025-05-30T21:28:48Z,"DocsGPT is an open-source genAI tool that helps users get reliable answers from knowledge source, while avoiding hallucinations. It enables private and reliable information retrieval, with tooling and agentic system capability built in."
90,LLM,web-llm,15581,1017,TypeScript,https://github.com/mlc-ai/web-llm,mlc-ai,106,2025-05-05T03:17:42Z,High-performance In-browser LLM Inference Engine 
91,LLM,ChuanhuChatGPT,15417,2280,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,122,2025-03-13T09:36:38Z,"GUI for ChatGPT API and many LLMs. Supports agents, file-based QA, GPT finetuning and query with web search. All with a neat UI."
92,LLM,SillyTavern,14874,3333,JavaScript,https://github.com/SillyTavern/SillyTavern,SillyTavern,245,2025-05-30T23:21:54Z,LLM Frontend for Power Users.
93,LLM,screenpipe,14862,1094,TypeScript,https://github.com/mediar-ai/screenpipe,mediar-ai,159,2025-05-30T17:03:14Z,"AI app store powered by 24/7 desktop history.  open source | 100% local | dev friendly | 24/7 screen, mic recording"
94,LLM,sglang,14782,1880,Python,https://github.com/sgl-project/sglang,sgl-project,470,2025-05-31T02:54:44Z,SGLang is a fast serving framework for large language models and vision language models.
95,LLM,Llama-Chinese,14598,1305,Python,https://github.com/LlamaFamily/Llama-Chinese,LlamaFamily,196,2025-04-06T09:16:55Z,Llama中文社区，实时汇总最新Llama学习资料，构建最好的中文Llama大模型开源生态，完全开源可商用
96,LLM,ai,14568,2300,TypeScript,https://github.com/vercel/ai,vercel,527,2025-05-31T01:37:50Z,"The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents "
97,LLM,ktransformers,14217,1005,Python,https://github.com/kvcache-ai/ktransformers,kvcache-ai,540,2025-05-29T07:37:41Z,A Flexible Framework for Experiencing Cutting-edge LLM Inference Optimizations
98,LLM,xiaozhi-esp32,14087,2703,C++,https://github.com/78/xiaozhi-esp32,78,139,2025-05-30T02:13:18Z,Build your own AI friend
99,LLM,ml-engineering,13838,834,Python,https://github.com/stas00/ml-engineering,stas00,0,2025-05-30T17:32:49Z,Machine Learning Engineering Open Book
100,LLM,llmware,13768,2690,Python,https://github.com/llmware-ai/llmware,llmware-ai,65,2025-05-12T16:47:25Z,"Unified framework for building enterprise RAG pipelines with small, specialized models"
1,ChatGPT,awesome-chatgpt-prompts,127401,16921,JavaScript,https://github.com/f/awesome-chatgpt-prompts,f,0,2025-05-24T05:14:58Z,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.
2,ChatGPT,generative-ai-for-beginners,84184,43884,Jupyter Notebook,https://github.com/microsoft/generative-ai-for-beginners,microsoft,4,2025-05-29T16:57:02Z,"21 Lessons, Get Started Building with Generative AI  🔗 https://microsoft.github.io/generative-ai-for-beginners/"
3,ChatGPT,NextChat,83601,61168,TypeScript,https://github.com/ChatGPTNextWeb/NextChat,ChatGPTNextWeb,636,2025-04-19T08:00:42Z,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows
4,ChatGPT,gpt_academic,68618,8349,Python,https://github.com/binary-husky/gpt_academic,binary-husky,256,2025-05-06T14:19:12Z,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
5,ChatGPT,langflow,66990,6660,Python,https://github.com/langflow-ai/langflow,langflow-ai,411,2025-05-31T03:16:11Z,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.
6,ChatGPT,openai-cookbook,64362,10554,MDX,https://github.com/openai/openai-cookbook,openai,25,2025-05-31T02:13:08Z,Examples and guides for using the OpenAI API
7,ChatGPT,gpt4free,64357,13645,Python,https://github.com/xtekky/gpt4free,xtekky,13,2025-05-28T18:24:44Z,"The official gpt4free repository | various collection of powerful language models | o4, o3 and deepseek r1, gpt-4.1, gemini 2.5"
8,ChatGPT,lobe-chat,62025,12910,TypeScript,https://github.com/lobehub/lobe-chat,lobehub,784,2025-05-31T00:30:56Z,"🤯 Lobe Chat - an open-source, modern-design AI chat framework. Supports Multi AI Providers( OpenAI / Claude 4 / Gemini / Ollama / DeepSeek / Qwen), Knowledge Base (file upload / knowledge management / RAG ), Multi-Modals (Plugins/Artifacts) and Thinking. One-click FREE deployment of your private ChatGPT/ Claude / DeepSeek application."
9,ChatGPT,open-interpreter,59557,5067,Python,https://github.com/OpenInterpreter/open-interpreter,OpenInterpreter,219,2025-04-23T07:18:30Z,A natural language interface for computers
10,ChatGPT,OpenHands,56935,6410,Python,https://github.com/All-Hands-AI/OpenHands,All-Hands-AI,223,2025-05-30T22:40:31Z,"🙌 OpenHands: Code Less, Make More"
11,ChatGPT,Prompt-Engineering-Guide,56435,5586,MDX,https://github.com/dair-ai/Prompt-Engineering-Guide,dair-ai,142,2025-05-29T22:49:02Z,"🐙 Guides, papers, lecture, notebooks and resources for prompt engineering"
12,ChatGPT,awesome-chatgpt-prompts-zh,55235,13571,,https://github.com/PlexPt/awesome-chatgpt-prompts-zh,PlexPt,38,2025-01-01T08:34:33Z,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。
13,ChatGPT,ragflow,53984,5205,TypeScript,https://github.com/infiniflow/ragflow,infiniflow,2141,2025-05-30T13:14:03Z,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.
14,ChatGPT,ChatGPT,53791,6108,Rust,https://github.com/lencx/ChatGPT,lencx,803,2024-08-29T17:58:11Z,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)"
15,ChatGPT,LLMs-from-scratch,50402,7295,Jupyter Notebook,https://github.com/rasbt/LLMs-from-scratch,rasbt,5,2025-04-20T02:16:18Z,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step"
16,ChatGPT,autogen,45329,6860,Python,https://github.com/microsoft/autogen,microsoft,506,2025-05-30T17:20:31Z,A programming framework for agentic AI 🤖 PyPi: autogen-agentchat Discord: https://aka.ms/autogen-discord Office Hour: https://aka.ms/autogen-officehour
17,ChatGPT,JeecgBoot,42878,15364,Java,https://github.com/jeecgboot/JeecgBoot,jeecgboot,25,2025-05-29T08:10:16Z,🔥集成完善AIGC应用的低代码平台，旨在帮助企业快速实现低代码开发和构建、部署个性化的 AI 应用。 前后端分离 SpringBoot，SpringCloud，Ant Design&Vue3，Mybatis，Shiro！强大的代码生成器让前后端代码一键生成，无需写任何代码! 成套AI大模型功能: AI模型管理、AI应用、知识库、AI流程编排、AI对话助手等；
