rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
40,LLM,continue,25725,2632,TypeScript,https://github.com/continuedev/continue,continuedev,756,2025-04-20T05:45:15Z,"⏩ Create, share, and use custom AI code assistants with our open-source IDE extensions and hub of models, rules, prompts, docs, and other building blocks"
41,LLM,composio,25003,4407,Python,https://github.com/ComposioHQ/composio,ComposioHQ,40,2025-04-19T02:55:49Z,Composio equip's your AI agents & LLMs with 100+ high-quality integrations via function calling
42,LLM,one-api,24728,5116,JavaScript,https://github.com/songquanpeng/one-api,songquanpeng,838,2025-02-21T11:30:22Z,"LLM API 管理 & 分发系统，支持 OpenAI、Azure、Anthropic Claude、Google Gemini、DeepSeek、字节豆包、ChatGLM、文心一言、讯飞星火、通义千问、360 智脑、腾讯混元等主流模型，统一 API 适配，可用于 key 管理与二次分发。单可执行文件，提供 Docker 镜像，一键部署，开箱即用。LLM API management & key redistribution system, unifying multiple providers under a single API. Single binary, Docker-ready, with an English UI."
43,LLM,graphrag,24662,2476,Python,https://github.com/microsoft/graphrag,microsoft,148,2025-04-17T19:54:29Z,A modular graph-based Retrieval-Augmented Generation (RAG) system
44,LLM,pathway,24624,358,Python,https://github.com/pathwaycom/pathway,pathwaycom,39,2025-04-20T05:13:32Z,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG."
45,LLM,cherry-studio,24197,2061,TypeScript,https://github.com/CherryHQ/cherry-studio,CherryHQ,580,2025-04-21T03:42:48Z,🍒 Cherry Studio is a desktop client that supports for multiple LLM providers.
46,LLM,JARVIS,24101,2015,Python,https://github.com/microsoft/JARVIS,microsoft,80,2024-09-26T06:43:22Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
47,LLM,semantic-kernel,24097,3731,C#,https://github.com/microsoft/semantic-kernel,microsoft,419,2025-04-21T02:56:07Z,Integrate cutting-edge LLM technology quickly and easily into your apps
48,LLM,storm,23893,2106,Python,https://github.com/stanford-oval/storm,stanford-oval,41,2025-01-23T07:21:44Z,An LLM-powered knowledge curation system that researches a topic and generates a full-length report with citations.
49,LLM,llm-app,23879,410,Jupyter Notebook,https://github.com/pathwaycom/llm-app,pathwaycom,5,2025-04-11T17:02:33Z,"Ready-to-run cloud templates for RAG, AI pipelines, and enterprise search with live data. 🐳Docker-friendly.⚡Always in sync with Sharepoint, Google Drive, S3, Kafka, PostgreSQL, real-time data APIs, and more."
50,LLM,FastGPT,23656,6131,TypeScript,https://github.com/labring/FastGPT,labring,483,2025-04-21T02:41:26Z,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration."
51,LLM,Awesome-LLM,22816,1901,,https://github.com/Hannibal046/Awesome-LLM,Hannibal046,7,2025-04-21T02:45:31Z,Awesome-LLM: a curated list of Large Language Model
52,LLM,gin-vue-admin,22693,6648,Go,https://github.com/flipped-aurora/gin-vue-admin,flipped-aurora,23,2025-04-21T03:39:50Z,🚀Vite+Vue3+Gin拥有AI辅助的基础开发平台，支持TS和JS混用。它集成了JWT鉴权、权限管理、动态路由、显隐可控组件、分页封装、多点登录拦截、资源权限、上传下载、代码生成器、表单生成器和可配置的导入导出等开发必备功能。
53,LLM,llamafile,22219,1170,C++,https://github.com/Mozilla-Ocho/llamafile,Mozilla-Ocho,142,2025-04-16T14:17:09Z,Distribute and run LLMs with a single file.
54,LLM,unilm,21094,2611,Python,https://github.com/microsoft/unilm,microsoft,623,2025-03-04T00:17:39Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
55,LLM,litellm,21059,2661,Python,https://github.com/BerriAI/litellm,BerriAI,1231,2025-04-20T18:33:45Z,"Python SDK, Proxy Server (LLM Gateway) to call 100+ LLM APIs in OpenAI format - [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, Replicate, Groq]"
56,LLM,gpt-researcher,21037,2734,Python,https://github.com/assafelovic/gpt-researcher,assafelovic,85,2025-04-20T19:27:08Z,LLM based autonomous agent that conducts deep local and web research on any topic and generates a long report with citations.
57,LLM,mlc-llm,20442,1714,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,246,2025-04-06T22:40:08Z,Universal LLM Deployment Engine with ML Compilation
58,LLM,haystack,20367,2134,Python,https://github.com/deepset-ai/haystack,deepset-ai,112,2025-04-18T08:10:09Z,"AI orchestration framework to build customizable, production-ready LLM applications. Connect components (models, vector DBs, file converters) to pipelines or agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search or conversational agent chatbots."
59,LLM,architecture.of.internet-product,20256,4680,HTML,https://github.com/davideuler/architecture.of.internet-product,davideuler,3,2024-02-17T12:02:24Z,互联网公司技术架构，微信/淘宝/微博/腾讯/阿里/美团点评/百度/OpenAI/Google/Facebook/Amazon/eBay的架构，欢迎PR补充
60,LLM,Awesome-Chinese-LLM,19662,1905,,https://github.com/HqWu-HITCS/Awesome-Chinese-LLM,HqWu-HITCS,5,2025-04-08T08:13:03Z,整理开源的中文大语言模型，以规模较小、可私有化部署、训练成本较低的模型为主，包括底座模型，垂直领域微调及应用，数据集与教程等。
61,LLM,pandas-ai,19572,1854,Python,https://github.com/sinaptik-ai/pandas-ai,sinaptik-ai,18,2025-04-14T08:07:44Z,"Chat with your database or your datalake (SQL, CSV, parquet). PandasAI makes data analysis conversational using LLMs and RAG."
62,LLM,gitleaks,19570,1591,Go,https://github.com/gitleaks/gitleaks,gitleaks,192,2025-04-16T21:10:47Z,Find secrets with Gitleaks 🔑
63,LLM,Scrapegraph-ai,19234,1627,Python,https://github.com/ScrapeGraphAI/Scrapegraph-ai,ScrapeGraphAI,21,2025-04-18T16:17:40Z,Python scraper based on AI
64,LLM,llm-cookbook,18917,2282,Jupyter Notebook,https://github.com/datawhalechina/llm-cookbook,datawhalechina,11,2025-02-25T12:01:58Z,面向开发者的 LLM 入门教程，吴恩达大模型系列课程中文版
65,LLM,Chinese-LLaMA-Alpaca,18806,1890,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,1,2024-04-30T04:28:38Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
66,LLM,CopilotKit,18255,2612,TypeScript,https://github.com/CopilotKit/CopilotKit,CopilotKit,115,2025-04-19T03:25:40Z,"React UI + elegant infrastructure for AI Copilots, AI chatbots, and in-app AI agents. The Agentic last-mile 🪁"
67,LLM,peft,18161,1824,Python,https://github.com/huggingface/peft,huggingface,15,2025-04-17T10:38:06Z,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.
68,LLM,Qwen,17925,1474,Python,https://github.com/QwenLM/Qwen,QwenLM,9,2025-03-28T03:15:58Z,The official repo of Qwen (通义千问) chat & pretrained large language model proposed by Alibaba Cloud.
69,LLM,crawlee,17489,799,TypeScript,https://github.com/apify/crawlee,apify,136,2025-04-18T08:13:57Z,"Crawlee—A web scraping and browser automation library for Node.js to build reliable crawlers. In JavaScript and TypeScript. Extract data for AI, LLMs, RAG, or GPTs. Download HTML, PDF, JPG, PNG, and other files from websites. Works with Puppeteer, Playwright, Cheerio, JSDOM, and raw HTTP. Both headful and headless mode. With proxy rotation."
70,LLM,agentic,17365,2212,TypeScript,https://github.com/transitive-bullshit/agentic,transitive-bullshit,11,2025-04-20T21:29:20Z,AI agent stdlib that works with any LLM and TypeScript AI SDK.
71,LLM,Janus,17139,2231,Python,https://github.com/deepseek-ai/Janus,deepseek-ai,148,2025-02-01T07:58:29Z,Janus-Series: Unified Multimodal Understanding and Generation Models
72,LLM,llama-cookbook,17102,2444,Jupyter Notebook,https://github.com/meta-llama/llama-cookbook,meta-llama,15,2025-04-17T15:44:27Z,"Welcome to the Llama Cookbook! This is your go to guide for Building with Llama: Getting started with Inference, Fine-Tuning, RAG. We also show you how to solve end to end problems using Llama model family and using them on various provider services  "
73,LLM,vanna,16714,1485,Python,https://github.com/vanna-ai/vanna,vanna-ai,156,2025-04-10T03:18:09Z,🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using RAG 🔄.
74,LLM,llm-action,16703,1949,HTML,https://github.com/liguodongiot/llm-action,liguodongiot,14,2025-04-13T03:10:44Z,本项目旨在分享大模型相关技术原理以及实战经验（大模型工程化、大模型应用落地）
75,LLM,SuperAGI,16216,1954,Python,https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus,141,2025-01-22T22:14:07Z,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
76,LLM,DB-GPT,16197,2207,Python,https://github.com/eosphoros-ai/DB-GPT,eosphoros-ai,351,2025-04-21T03:13:03Z,AI Native Data App Development framework with AWEL(Agentic Workflow Expression Language) and Agents
77,LLM,RagaAI-Catalyst,16164,3794,Python,https://github.com/raga-ai-hub/RagaAI-Catalyst,raga-ai-hub,6,2025-04-17T09:12:44Z,"Python SDK for Agent AI Observability, Monitoring and Evaluation Framework. Includes features like agent, llm and tools tracing, debugging multi-agentic system, self-hosted dashboard and advanced analytics with timeline and execution graph view "
78,LLM,letta,16080,1668,Python,https://github.com/letta-ai/letta,letta-ai,36,2025-04-19T19:42:42Z,"Letta (formerly MemGPT) is the stateful agents framework with memory, reasoning, and context management."
79,LLM,evals,15964,2689,Python,https://github.com/openai/evals,openai,97,2024-12-18T22:09:47Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
80,LLM,kubesphere,15842,2198,Go,https://github.com/kubesphere/kubesphere,kubesphere,597,2025-04-21T03:19:37Z,"The container platform tailored for Kubernetes multi-cloud, datacenter, and edge management ⎈ 🖥 ☁️"
81,LLM,ChatGLM2-6B,15751,1847,Python,https://github.com/THUDM/ChatGLM2-6B,THUDM,430,2024-06-27T04:05:08Z,ChatGLM2-6B: An Open Bilingual Chat LLM | 开源双语对话语言模型
82,LLM,MaxKB,15724,2056,Python,https://github.com/1Panel-dev/MaxKB,1Panel-dev,127,2025-04-21T03:15:28Z,"💬 MaxKB is an open-source AI assistant for enterprise. It seamlessly integrates RAG pipelines, supports robust workflows, and provides MCP tool-use capabilities."
83,LLM,DocsGPT,15562,1657,TypeScript,https://github.com/arc53/DocsGPT,arc53,30,2025-04-19T22:39:17Z,"DocsGPT is an open-source genAI tool that helps users get reliable answers from knowledge source, while avoiding hallucinations. It enables private and reliable information retrieval, with tooling and agentic system capability built in."
84,LLM,SWE-agent,15505,1577,Python,https://github.com/SWE-agent/SWE-agent,SWE-agent,32,2025-04-20T02:23:50Z,"SWE-agent takes a GitHub issue and tries to automatically fix it, using GPT-4, or your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024] "
85,LLM,RAG_Techniques,15456,1533,Jupyter Notebook,https://github.com/NirDiamant/RAG_Techniques,NirDiamant,0,2025-04-16T22:47:52Z,This repository showcases various advanced techniques for Retrieval-Augmented Generation (RAG) systems. RAG systems combine information retrieval with generative models to provide accurate and contextually rich responses.
86,LLM,ChuanhuChatGPT,15421,2287,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,122,2025-03-13T09:36:38Z,"GUI for ChatGPT API and many LLMs. Supports agents, file-based QA, GPT finetuning and query with web search. All with a neat UI."
87,LLM,LightRAG,15415,2101,Python,https://github.com/HKUDS/LightRAG,HKUDS,226,2025-04-20T17:24:55Z,"""LightRAG: Simple and Fast Retrieval-Augmented Generation"""
88,LLM,web-llm,15263,999,TypeScript,https://github.com/mlc-ai/web-llm,mlc-ai,98,2025-01-21T08:18:46Z,High-performance In-browser LLM Inference Engine 
89,LLM,BitNet,14970,1052,C++,https://github.com/microsoft/BitNet,microsoft,51,2025-04-16T04:35:53Z,Official inference framework for 1-bit LLMs
90,LLM,repomix,14858,637,TypeScript,https://github.com/yamadashy/repomix,yamadashy,72,2025-04-21T02:17:19Z,"📦 Repomix (formerly Repopack) is a powerful tool that packs your entire repository into a single, AI-friendly file. Perfect for when you need to feed your codebase to Large Language Models (LLMs) or other AI tools like Claude, ChatGPT, DeepSeek, Perplexity, Gemini, Gemma, Llama, Grok, and more."
91,LLM,self-llm,14839,1678,Jupyter Notebook,https://github.com/datawhalechina/self-llm,datawhalechina,132,2025-04-18T01:50:43Z,《开源大模型食用指南》针对中国宝宝量身打造的基于Linux环境快速微调（全参数/Lora）、部署国内外开源大模型（LLM）/多模态大模型（MLLM）教程
92,LLM,Llama-Chinese,14546,1299,Python,https://github.com/LlamaFamily/Llama-Chinese,LlamaFamily,196,2025-04-06T09:16:55Z,Llama中文社区，实时汇总最新Llama学习资料，构建最好的中文Llama大模型开源生态，完全开源可商用
93,LLM,SillyTavern,13689,3119,JavaScript,https://github.com/SillyTavern/SillyTavern,SillyTavern,225,2025-04-20T21:26:41Z,LLM Frontend for Power Users.
94,LLM,ChatGLM3,13681,1602,Python,https://github.com/THUDM/ChatGLM3,THUDM,27,2025-01-13T06:55:26Z,ChatGLM3 series: Open Bilingual Chat LLMs | 开源双语对话语言模型
95,LLM,ktransformers,13608,957,Python,https://github.com/kvcache-ai/ktransformers,kvcache-ai,497,2025-04-19T08:31:38Z,A Flexible Framework for Experiencing Cutting-edge LLM Inference Optimizations
96,LLM,ai,13570,2100,TypeScript,https://github.com/vercel/ai,vercel,425,2025-04-21T01:09:41Z,"The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents "
97,LLM,botpress,13566,1966,TypeScript,https://github.com/botpress/botpress,botpress,8,2025-04-18T23:12:19Z,The open-source hub to build & deploy GPT/LLM Agents ⚡️
98,LLM,RWKV-LM,13529,913,Python,https://github.com/BlinkDL/RWKV-LM,BlinkDL,105,2025-04-07T09:58:44Z,"RWKV (pronounced RwaKuv) is an RNN with great LLM performance, which can also be directly trained like a GPT transformer (parallelizable). We are at RWKV-7 ""Goose"". So it's combining the best of RNN and transformer - great performance, linear time, constant space (no kv-cache), fast training, infinite ctx_len, and free sentence embedding."
99,LLM,screenpipe,13520,974,TypeScript,https://github.com/mediar-ai/screenpipe,mediar-ai,215,2025-04-16T15:24:22Z,"AI app store powered by 24/7 desktop history.  open source | 100% local | dev friendly | 24/7 screen, mic recording"
100,LLM,ml-engineering,13457,816,Python,https://github.com/stas00/ml-engineering,stas00,0,2025-04-07T23:02:16Z,Machine Learning Engineering Open Book
1,ChatGPT,awesome-chatgpt-prompts,123235,16499,JavaScript,https://github.com/f/awesome-chatgpt-prompts,f,0,2025-04-10T21:22:29Z,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.
2,ChatGPT,NextChat,82874,61140,TypeScript,https://github.com/ChatGPTNextWeb/NextChat,ChatGPTNextWeb,622,2025-04-19T08:00:42Z,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows
3,ChatGPT,generative-ai-for-beginners,78620,40871,Jupyter Notebook,https://github.com/microsoft/generative-ai-for-beginners,microsoft,7,2025-04-14T08:56:13Z,"21 Lessons, Get Started Building with Generative AI  🔗 https://microsoft.github.io/generative-ai-for-beginners/"
4,ChatGPT,gpt_academic,68237,8333,Python,https://github.com/binary-husky/gpt_academic,binary-husky,251,2025-04-20T16:50:35Z,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
5,ChatGPT,gpt4free,64081,13601,Python,https://github.com/xtekky/gpt4free,xtekky,28,2025-04-20T19:43:13Z,"The official gpt4free repository | various collection of powerful language models | o4, o3 and deepseek r1, gpt-4.1, gemini 2.5"
6,ChatGPT,openai-cookbook,63343,10285,MDX,https://github.com/openai/openai-cookbook,openai,31,2025-04-16T15:49:08Z,Examples and guides for using the OpenAI API
7,ChatGPT,open-interpreter,59159,5039,Python,https://github.com/OpenInterpreter/open-interpreter,OpenInterpreter,214,2025-03-30T20:30:55Z,A natural language interface for computers
8,ChatGPT,lobe-chat,59054,12522,TypeScript,https://github.com/lobehub/lobe-chat,lobehub,693,2025-04-21T03:23:13Z,"🤯 Lobe Chat - an open-source, modern-design AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Ollama / DeepSeek / Qwen), Knowledge Base (file upload / knowledge management / RAG ), Multi-Modals (Plugins/Artifacts) and Thinking. One-click FREE deployment of your private ChatGPT/ Claude / DeepSeek application."
9,ChatGPT,langflow,55504,6086,Python,https://github.com/langflow-ai/langflow,langflow-ai,426,2025-04-20T06:43:38Z,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.
10,ChatGPT,Prompt-Engineering-Guide,55226,5431,MDX,https://github.com/dair-ai/Prompt-Engineering-Guide,dair-ai,141,2025-04-05T16:00:58Z,"🐙 Guides, papers, lecture, notebooks and resources for prompt engineering"
11,ChatGPT,awesome-chatgpt-prompts-zh,54766,13570,,https://github.com/PlexPt/awesome-chatgpt-prompts-zh,PlexPt,38,2025-01-01T08:34:33Z,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。
12,ChatGPT,ChatGPT,53705,6072,Rust,https://github.com/lencx/ChatGPT,lencx,791,2024-08-29T17:58:11Z,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)"
13,ChatGPT,OpenHands,53224,5930,Python,https://github.com/All-Hands-AI/OpenHands,All-Hands-AI,187,2025-04-21T00:46:24Z,"🙌 OpenHands: Code Less, Make More"
14,ChatGPT,ragflow,49656,4686,TypeScript,https://github.com/infiniflow/ragflow,infiniflow,1854,2025-04-21T01:43:20Z,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.
15,ChatGPT,LLMs-from-scratch,44818,6282,Jupyter Notebook,https://github.com/rasbt/LLMs-from-scratch,rasbt,0,2025-04-20T02:16:18Z,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step"
16,ChatGPT,autogen,43440,6540,Python,https://github.com/microsoft/autogen,microsoft,490,2025-04-19T22:59:41Z,A programming framework for agentic AI 🤖 PyPi: autogen-agentchat Discord: https://aka.ms/autogen-discord Office Hour: https://aka.ms/autogen-officehour
